Energy,XFEL Harm,Fund Sq,Bin 1,Bin 1 err,Bin 3,Bin 3 err,Bin 5,Bin 5 err,Bin 7,Bin 7 err,Bin 9,Bin 9 err,Bin 11,Bin 11 err,Bin 13,Bin 13 err,Bin 15,Bin 15 err
1.092176577406711431e+03,1.263638168821932695e+01,8.569014977059857818e-01,3.573538668182980160e+00,3.166749896788302099e+00,1.590005834323707568e+01,2.677514187663803558e+00,3.883246022196549685e+00,2.236678714886195518e+00,-1.308389596542258504e+00,2.519802659261207722e+00,-3.715417962552921782e+00,7.036998774233222953e-01,-5.499911054389391429e-01,1.248235459854977414e+00,5.933877521938915045e+00,3.214331141170567729e-01,8.219270285692894973e+00,7.177320033720057779e+00
1.092779798752690795e+03,1.388561419666477192e+01,1.201939248444528374e+00,-1.725849667510126251e+00,8.858616942713829490e-01,1.662228218316485240e+01,2.557525324079008122e+00,7.146525409026779130e+00,2.306174921103526732e+00,-1.599719650933311810e+00,2.543186643274229830e+00,-1.852518145055881860e+00,1.012870387154572782e+00,-3.238644747638564358e-01,1.607959848431825600e+00,8.923657085410027889e+00,2.898930838719369962e+00,9.394370907073579247e+00,5.282751120806744360e+00
1.093383589178035891e+03,1.518514160712337357e+01,1.678208731704340817e+00,-7.506567582282940299e-01,3.514530819831986896e+00,1.446816277889129054e+01,3.060817636339094872e+00,8.427115343594822505e+00,4.127652853961912172e+00,-1.647408703147907660e+00,1.442008867180761378e+00,-1.708655849354660861e+00,7.433669767651812643e-02,2.336778991251515780e+00,1.136961933502046218e+00,1.154459816761384694e+01,1.026099315699584125e+00,1.512881510604568369e+01,3.479579284246996362e+00
1.093987949488431695e+03,1.664922814661139938e+01,2.343752130078766260e+00,1.723425689681154838e+00,4.307832716637843617e+00,1.403957631716661503e+01,4.782763383414924796e+00,9.268559955883397095e+00,4.497136499261458198e+00,-1.356615399864445237e+00,1.509286062418880636e+00,-2.785004436070062983e+00,7.856539221708123133e-01,1.863883144810074555e+00,2.448151007658662337e+00,1.284136234227466389e+01,1.377820876910370584e+00,1.196753231869737100e+01,3.262306095926708949e+00
1.094592880491084316e+03,1.817999912374922289e+01,3.221699569016878595e+00,1.497113952867724918e-01,2.135904150026622261e+00,1.405885568479452985e+01,7.855947633972050204e-01,8.677542007982399497e+00,3.536459615366340792e+00,-2.263644224510925174e+00,2.004788537659740744e+00,-3.204633383775098654e+00,1.621839222995509644e+00,1.931968098115329324e+00,5.993787155885104134e-01,8.919518639477908906e+00,1.439644467904256597e+00,7.024032809172875425e+00,5.519040119462167659e+00
1.095198382994725534e+03,1.971049470584625496e+01,4.364968166292127805e+00,5.299097027309269237e+00,4.924205127118204572e+00,1.491674978794212869e+01,1.600143330246801776e+00,9.868773825927199539e+00,1.569304584552095871e+00,-1.720997172707346978e+00,3.038928040958744692e+00,-8.949967733608872322e-01,1.362763223401382895e+00,2.204786553736302945e+00,9.246264451518879657e-01,1.123842280313313857e+01,2.468163077058441512e+00,7.792436330542822809e+00,3.433252268051542710e+00
1.095804457809615315e+03,2.128777743389082389e+01,5.780236005843435443e+00,6.520842792929750775e-01,1.776532561288423073e+00,1.275617358890560915e+01,5.398968801185740851e+00,1.041884804626206851e+01,2.406971004508819068e+00,-2.628274096790953251e+00,2.615408391699094892e+00,-2.439165536255558209e+00,1.654516180396191194e+00,1.501448923812176872e+00,1.890464074991239807e+00,9.190382001396642409e+00,3.819110477549165772e+00,5.349869946050679337e-01,3.132211005025926642e+00
1.096411105747547026e+03,2.290195073994052777e+01,7.541290908052394215e+00,-6.685630874876184737e-02,3.760426347501080180e+00,1.214315660627253202e+01,3.792389169707306884e+00,8.263808758535448717e+00,2.184508803851291425e+00,-2.115707403935180420e+00,2.918128272375008603e+00,-1.308938618492888395e+00,1.810287373343233419e+00,2.361444117475466786e+00,1.069272397899231342e+00,6.274649505097319668e+00,1.037454372821123627e+00,-5.014331003697454214e+00,4.669738161639441110e+00
1.097018327621848812e+03,2.443311362540558918e+01,9.620461186370663498e+00,-1.939227783239503289e-01,6.846640464960112027e+00,9.293801541217783679e+00,2.542410717941587350e+00,8.096946546767505026e+00,3.875876393184896962e+00,-2.345225455018137950e+00,5.146002910545320219e+00,-2.885337923637157242e+00,2.517628711606711089e+00,-5.738779297362649467e-01,1.379557209284646868e+00,1.090588507548498454e+00,3.092616492427552988e+00,-4.450219347466287445e+00,7.538149152720410306e-01
1.097626124247389725e+03,2.616115218873300563e+01,1.201472190339846868e+01,7.773464210280659481e-01,5.421758445922501224e+00,6.045367326891937232e+00,1.802769799142127205e+00,6.033938245125149535e+00,3.869201487968542685e-01,-8.058604717995739852e-01,2.736666320588552193e+00,-3.472994478601052037e+00,1.184207980466926324e+00,-2.386535093898193960e+00,2.876138340503919810e+00,-2.422236367546342084e+00,5.122824186642624511e+00,-4.932470162637410560e+00,2.440029816040743871e+00
