Energy,XFEL Harm,Fund Sq,Bin 1,Bin 1 err,Bin 3,Bin 3 err,Bin 5,Bin 5 err,Bin 7,Bin 7 err,Bin 9,Bin 9 err,Bin 11,Bin 11 err,Bin 13,Bin 13 err,Bin 15,Bin 15 err
1.058136635075371260e+03,1.484244682880337507e+01,3.459045059945330181e+00,1.097543311405893007e-01,1.778973379836189750e+00,2.645241053048243085e+00,2.686019282494542360e+00,1.789897458448358014e+00,1.977009067563269662e+00,1.090407035650386547e+00,3.265751518626903049e+00,-9.888959207383400951e-01,3.612222177836518444e+00,-1.060514546135005842e+00,4.183366841729370122e+00,-2.332268485368265143e+00,4.275912702000313814e+00,-6.388248729992398012e+00,1.288233108207985644e+01
1.058708178087205397e+03,1.623340712044790379e+01,4.445579046030159631e+00,3.988549477666405996e-01,4.701916242557664383e-01,2.707355623735647310e+00,1.260486649463261832e+00,1.034763742083407267e+00,1.716759835134225476e+00,7.494571027772730654e-01,3.942076884706757767e+00,-8.390025387727201300e-01,2.580735992995526917e+00,-1.323693649692207375e+00,4.157975109102227229e+00,-7.589473610725386843e-01,4.847000197170252989e+00,-9.225314795862507466e+00,1.106407460252461306e+01
1.059280245934280401e+03,1.774574888898719749e+01,5.612806846443540998e+00,1.618656621801796147e+00,9.939046632058509134e-01,4.095505964236463292e+00,1.751409557747942936e+00,2.404961716397976179e+00,2.524245138173789371e+00,1.907628640833571865e-01,3.556716030698728215e+00,-7.746924294653420029e-01,2.364288374875451293e+00,-9.710191294457501954e-01,3.592883660600032059e+00,-2.583908264305515790e+00,5.217120710570824826e+00,4.449023322431173710e-01,1.605012805697109002e+01
1.059852839339845104e+03,1.949118784337669297e+01,7.049024314753986609e+00,2.583520373893856359e+00,5.230371129063486002e+00,4.211300476230522172e+00,1.643381859767899966e+00,2.599035602925601651e+00,3.248542529143328750e+00,5.935530145791882012e-02,2.858288930668556826e+00,-2.150108662654860670e+00,4.305149093998020149e+00,-1.875344937407983137e+00,3.378536871757843674e+00,4.579487447523244437e-01,5.303241554732035290e+00,2.202060754591125491e+00,1.570040423251622563e+01
1.060425959028478019e+03,2.124179438182393298e+01,8.766515830194510528e+00,-3.049033851045483967e+00,3.153111006738051891e+00,2.866267945362363179e+00,1.948375640963865507e+00,3.235855262433229296e+00,1.391998323038974084e+00,-8.125736788503891139e-01,3.949904408264611533e+00,-1.890803381682180317e+00,5.533587367980590699e+00,-2.009267226912915927e+00,3.397217844277955034e+00,-1.660842621499483585e+00,4.482240211205517966e+00,-1.305151970717986387e+00,1.406273503553059889e+01
1.060999605726090067e+03,2.328223035010232067e+01,1.083038805457174547e+01,2.362778237135416237e+00,3.403328725306167257e+00,3.847992877093375341e+00,2.183085753763256864e+00,4.135816464754131339e+00,4.303511910249491201e+00,-5.467350260397966233e-01,3.218949036883783865e+00,-9.674136430663816677e-01,4.793498026828676650e+00,-1.703828951178157469e+00,4.873283902202032003e+00,-1.042535231205799162e+00,3.693805826583766549e+00,-3.985673460592371153e+00,1.464291284650576053e+01
1.061573780159927765e+03,2.533891953995510704e+01,1.332273647950050766e+01,5.355965619970341152e+00,2.733821005068663990e+00,2.539694268378339448e+00,6.246786535239798877e-01,4.822186486528408977e+00,4.079818875937355038e+00,-2.556784677578581300e-01,4.678109424498416935e+00,-1.945201165701748947e+00,6.256131191307026107e+00,-2.071002962321571772e+00,6.955546484986770750e+00,1.248805333536874285e+00,1.933103448967414817e+00,-3.004273247369392497e+00,1.371372661313925434e+01
1.062148483058576630e+03,2.762633637801084419e+01,1.665025155832696413e+01,8.002989064527893603e+00,3.584622928711787448e+00,1.066236919289291762e+00,2.224459020182330438e+00,5.331874691450635417e+00,4.128795845097847028e+00,-1.341137830588434499e+00,6.834322359234267452e+00,-2.109383709551915675e+00,6.751715990259339328e+00,-2.501741034713423351e-01,7.696583238525496640e+00,-1.287022736965316883e+00,4.488265847943934794e+00,1.982428276182266247e+00,1.090419618479918462e+01
1.062723715151963233e+03,3.021162008053704540e+01,2.069774399845583446e+01,4.468336662310111507e+00,6.866528181761387906e+00,2.723086275398786338e+00,3.787807428192790926e+00,5.863897514040392167e+00,4.080982248681372049e+00,-1.692468567074395080e+00,6.006187363635226539e+00,-2.137043495172259444e+00,5.764944120357904822e+00,-1.334120398080614223e+00,5.799307186867349806e+00,1.582109253731194487e+00,4.715789371439265132e+00,-7.735735255430521429e-01,1.299149604347580045e+01
1.063299477171360195e+03,3.305236912635115942e+01,2.528920702949215382e+01,4.177271900307016672e+00,9.658496697210763315e+00,1.636847811973235478e+00,1.905786563540843748e+00,4.760775326153720677e+00,3.212275346594250625e+00,-1.809587131105897528e+00,5.330266298362941413e+00,-3.301005081087827531e+00,5.324099637102015059e+00,-3.394591890283294333e+00,6.861507263275883339e+00,3.284438328541881447e+00,1.080543448808700902e+00,1.188685912105493570e+00,5.004533457108628625e+00
