,546 eV,,540 eV,,535 eV,,529 eV,,551 eV,,557 eV,,551 eV,,545 eV,,540 eV,,534 eV,
Energy,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err
1087.3712,1.57E-09,1.17E-09,1.64E-14,5.67E-14,2.68E-10,3.52E-10,8.92E-10,4.15E-10,6.96E-10,5.00E-10,1.29E-09,1.17E-10,5.31E-10,1.03E-09,4.80E-11,6.39E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1087.96989,1.80E-09,1.17E-09,2.53E-14,8.75E-14,2.98E-10,3.73E-10,9.70E-10,4.00E-10,8.82E-10,6.09E-10,1.36E-09,1.40E-10,7.31E-10,1.15E-09,4.95E-11,6.41E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1088.56916,2.03E-09,1.12E-09,3.71E-14,1.29E-13,3.18E-10,3.81E-10,1.05E-09,3.80E-10,1.01E-09,6.67E-10,1.40E-09,1.59E-10,9.91E-10,1.37E-09,5.13E-11,6.47E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1089.16898,2.26E-09,1.03E-09,5.14E-14,1.78E-13,3.34E-10,3.85E-10,1.14E-09,3.75E-10,1.08E-09,6.95E-10,1.42E-09,1.73E-10,1.26E-09,1.64E-09,5.32E-11,6.54E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1089.76937,2.48E-09,9.53E-10,6.65E-14,2.30E-13,3.48E-10,3.89E-10,1.21E-09,3.95E-10,1.12E-09,7.09E-10,1.43E-09,1.82E-10,1.46E-09,1.88E-09,5.55E-11,6.63E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1090.37032,2.67E-09,9.12E-10,8.03E-14,2.78E-13,3.57E-10,3.92E-10,1.28E-09,4.32E-10,1.14E-09,7.16E-10,1.44E-09,1.87E-10,1.60E-09,2.04E-09,5.84E-11,6.72E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1090.97184,2.83E-09,9.00E-10,9.16E-14,3.17E-13,3.62E-10,3.95E-10,1.33E-09,4.77E-10,1.15E-09,7.17E-10,1.44E-09,1.91E-10,1.68E-09,2.13E-09,6.27E-11,6.77E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1091.57392,2.94E-09,9.05E-10,9.98E-14,3.46E-13,3.64E-10,3.96E-10,1.38E-09,5.27E-10,1.15E-09,7.14E-10,1.44E-09,1.93E-10,1.72E-09,2.19E-09,6.95E-11,6.77E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1092.17658,3.02E-09,9.18E-10,1.05E-13,3.65E-13,3.66E-10,3.97E-10,1.43E-09,5.78E-10,1.16E-09,7.06E-10,1.44E-09,1.94E-10,1.75E-09,2.22E-09,7.94E-11,7.03E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1092.7798,3.07E-09,9.31E-10,1.09E-13,3.77E-13,3.66E-10,3.97E-10,1.47E-09,6.26E-10,1.17E-09,6.94E-10,1.44E-09,1.95E-10,1.76E-09,2.24E-09,8.99E-11,7.83E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1093.38359,3.11E-09,9.42E-10,1.11E-13,3.85E-13,3.66E-10,3.98E-10,1.50E-09,6.71E-10,1.18E-09,6.82E-10,1.45E-09,1.96E-10,1.77E-09,2.26E-09,9.76E-11,8.71E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1093.98795,3.14E-09,9.51E-10,1.13E-13,3.90E-13,3.66E-10,3.98E-10,1.53E-09,7.11E-10,1.19E-09,6.72E-10,1.45E-09,1.96E-10,1.78E-09,2.27E-09,1.02E-10,9.27E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1094.59288,3.16E-09,9.58E-10,1.13E-13,3.93E-13,3.66E-10,3.98E-10,1.56E-09,7.46E-10,1.20E-09,6.66E-10,1.45E-09,1.96E-10,1.79E-09,2.27E-09,1.05E-10,9.57E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1095.19838,3.17E-09,9.63E-10,1.14E-13,3.94E-13,3.66E-10,3.98E-10,1.58E-09,7.75E-10,1.20E-09,6.63E-10,1.45E-09,1.97E-10,1.79E-09,2.28E-09,1.06E-10,9.76E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1095.80446,3.18E-09,9.66E-10,1.14E-13,3.95E-13,3.66E-10,3.98E-10,1.59E-09,8.00E-10,1.21E-09,6.62E-10,1.45E-09,1.97E-10,1.79E-09,2.28E-09,1.08E-10,9.88E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1096.41111,3.19E-09,9.68E-10,1.14E-13,3.96E-13,3.66E-10,3.98E-10,1.61E-09,8.20E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.29E-09,1.08E-10,9.97E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1097.01833,3.19E-09,9.69E-10,1.14E-13,3.96E-13,3.66E-10,3.98E-10,1.62E-09,8.36E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.29E-09,1.09E-10,1.00E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1097.62612,3.20E-09,9.70E-10,1.14E-13,3.96E-13,3.66E-10,3.98E-10,1.63E-09,8.49E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.29E-09,1.10E-10,1.01E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1098.2345,3.20E-09,9.70E-10,1.14E-13,3.96E-13,3.66E-10,3.98E-10,1.64E-09,8.60E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.29E-09,1.10E-10,1.02E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1098.84345,3.20E-09,9.71E-10,1.14E-13,3.96E-13,3.66E-10,3.98E-10,1.64E-09,8.68E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.11E-10,1.02E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1099.45297,3.20E-09,9.70E-10,1.14E-13,3.96E-13,3.66E-10,3.98E-10,1.65E-09,8.75E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.11E-10,1.02E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1100.06307,3.20E-09,9.70E-10,1.15E-13,3.97E-13,3.66E-10,3.98E-10,1.65E-09,8.80E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.11E-10,1.03E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1100.67376,3.21E-09,9.70E-10,1.15E-13,3.97E-13,3.66E-10,3.98E-10,1.66E-09,8.84E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.11E-10,1.03E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1101.28502,3.21E-09,9.70E-10,1.15E-13,3.97E-13,3.66E-10,3.98E-10,1.66E-09,8.87E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.11E-10,1.03E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1101.89686,3.21E-09,9.70E-10,1.15E-13,3.97E-13,3.66E-10,3.98E-10,1.66E-09,8.90E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.12E-10,1.03E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1102.50929,3.21E-09,9.69E-10,1.15E-13,3.97E-13,3.66E-10,3.98E-10,1.66E-09,8.92E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.12E-10,1.03E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1103.12229,3.21E-09,9.69E-10,1.15E-13,3.97E-13,3.66E-10,3.98E-10,1.66E-09,8.93E-10,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.12E-10,1.03E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1103.73588,3.21E-09,9.69E-10,1.15E-13,3.97E-13,3.66E-10,3.98E-10,,,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.80E-09,2.30E-09,1.12E-10,1.03E-10,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1104.35006,3.21E-09,9.69E-10,1.15E-13,3.97E-13,3.66E-10,3.98E-10,,,1.21E-09,6.61E-10,1.45E-09,1.97E-10,1.81E-09,2.30E-09,1.12E-10,1.03E-10,,,2.06E-10,3.20E-10
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
