Energy,t0,t0 err,m,m err
5.419839023041564587e+02,5.061730801107416911e-03,4.095376725058062707e-04,-4.731121679640763357e-06,1.849052542970424697e-06
5.421798281015179555e+02,5.543039819161956622e-03,4.046249342725366884e-04,-4.889047855417869903e-06,1.839746750521083349e-06
5.423758592072978217e+02,5.866465458172251402e-03,4.714027436024780925e-04,-4.565450361616781005e-06,1.859023930820321229e-06
5.425719957064222854e+02,6.553290598547919371e-03,3.972068722203783795e-04,-4.662854393962143786e-06,1.853135638653474472e-06
5.427682376839090921e+02,7.368243332764820054e-03,4.189971320340221163e-04,-5.414610109066973984e-06,1.810218125609817182e-06
5.429645852248672782e+02,8.305399881501952797e-03,4.561298068844712897e-04,-6.247431209485884910e-06,1.768174863450258622e-06
5.431610384144978525e+02,9.906411061967665757e-03,3.863501775201158344e-04,-7.658508648852966895e-06,1.711276478230822874e-06
5.433575973380931146e+02,1.162330800550815876e-02,3.867823950917833025e-04,-9.440349341406391377e-06,1.667564504871017444e-06
5.435542620810373364e+02,1.344776254735068760e-02,3.655912458248071961e-04,-1.168182008049396813e-05,1.660460913328067517e-06
5.437510327288069902e+02,1.554040488118664347e-02,3.580906946364424779e-04,-1.443782697607434629e-05,1.725025749193372666e-06
5.439479093669702934e+02,1.785510262295230896e-02,3.913608568239179621e-04,-1.698891026547683588e-05,1.849725249605224792e-06
5.441448920811878907e+02,2.029673375898247492e-02,4.360456186453178385e-04,-1.975314472807500590e-05,2.041736220503258237e-06
5.443419809572126269e+02,2.295630647846149189e-02,4.886851054381360741e-04,-2.274033046139852990e-05,2.298929461015618185e-06
5.445391760808898880e+02,2.571648011646672505e-02,5.648716461796368096e-04,-2.563076694592711244e-05,2.582785870016423819e-06
5.447364775381574873e+02,2.860420952808492151e-02,6.485546889484128299e-04,-2.859781647486572470e-05,2.899261067142913770e-06
5.449338854150462339e+02,3.170784371743474994e-02,7.857238443993840721e-04,-3.144873162597276478e-05,3.220400304921275335e-06
5.451313997976794781e+02,3.442887292715979264e-02,8.104451392071084295e-04,-3.385169984141437146e-05,3.500636773928340360e-06
5.453290207722737932e+02,3.728067883804171007e-02,8.984143826515031970e-04,-3.616652657971072929e-05,3.776932251425658189e-06
5.455267484251385213e+02,4.064154922608032711e-02,1.065588581871057539e-03,-3.871523793155847294e-05,4.086811068234059246e-06
5.457245828426764547e+02,4.273536070200361497e-02,1.040395260662122694e-03,-3.954942518345635160e-05,4.189311089188562825e-06
5.459225241113836091e+02,4.483361981946823449e-02,1.012115778243816025e-03,-3.970500686793410517e-05,4.208480792081101092e-06
5.461205723178495646e+02,4.744841049871694610e-02,1.144954921509402316e-03,-4.206424918379148936e-05,4.501015743192247484e-06
5.463187275487572379e+02,4.965868123436997794e-02,1.099937751928356869e-03,-4.462301739670803264e-05,4.821692810993059629e-06
5.465169898908836785e+02,5.115634308070447778e-02,1.050337943687524971e-03,-4.440374341635446519e-05,4.794090657295441562e-06
5.467153594310995004e+02,5.181064519243087224e-02,1.017162209295828339e-03,-4.121878160984815068e-05,4.395802389134791316e-06
5.469138362563691089e+02,5.138726822268730593e-02,9.191962524523837044e-04,-3.620760095329243977e-05,3.781882623118346934e-06
5.471124204537511559e+02,5.603496006867061952e-02,1.249221303788836763e-03,-5.061069645043317713e-05,5.582531996700304754e-06
5.473111121103989944e+02,5.953914352925863268e-02,1.518229491834481191e-03,-6.252347210417446329e-05,7.123770936778374055e-06
5.475099113135594280e+02,6.168339069983781037e-02,1.790504924595777599e-03,-6.921271318218614598e-05,7.998874248552327688e-06
5.477088181505745297e+02,6.284618841831171587e-02,1.730017550062114056e-03,-7.251139205860741897e-05,8.432108286138388992e-06
5.479078327088802780e+02,6.386360784449207628e-02,1.696591787757004057e-03,-7.448898756975166598e-05,8.692276240993234199e-06
5.481069550760081484e+02,6.501904105011303836e-02,1.757951643934288922e-03,-7.578606399063937541e-05,8.863078010579422588e-06
5.483061853395838625e+02,6.566832557567309214e-02,1.944574832945166962e-03,-7.659463981625145841e-05,8.969613788527551704e-06
5.485055235873282982e+02,6.560104025060621569e-02,1.761648727127371541e-03,-7.675943850793646593e-05,8.991332759190173013e-06
5.487049699070577162e+02,6.571083537540352293e-02,1.698512211617872643e-03,-7.690593552351809219e-05,9.010641283788273960e-06
5.489045243866831925e+02,6.610326051399008362e-02,1.675754882346548692e-03,-7.669135403645117161e-05,8.982359619966914281e-06
5.491041871142114132e+02,6.613159485205007126e-02,1.627464010124466927e-03,-7.549998746774211355e-05,8.825396351049785446e-06
5.493039581777445619e+02,6.523013537652612437e-02,1.577551678989069350e-03,-7.155410961352249557e-05,8.306284272675076055e-06
5.495038376654804324e+02,6.415669440101044729e-02,1.545992246433218389e-03,-6.803405496656720632e-05,7.844320590323849445e-06
5.497038256657126567e+02,6.407533782615544571e-02,1.610427186582430708e-03,-7.040281965618647826e-05,8.155065034883493552e-06
5.499039222668305911e+02,6.449788429926243960e-02,1.924810457790897527e-03,-7.272284448673223798e-05,8.459911622528135323e-06
5.501041275573197709e+02,6.396890849199286799e-02,1.573442505982682168e-03,-7.216074404056509444e-05,8.386010609904824835e-06
5.503044416257617968e+02,6.311077112265163491e-02,1.414993392949940405e-03,-6.984877143003290320e-05,8.082334686376206650e-06
5.505048645608346760e+02,6.143699650953705210e-02,1.253779612693083122e-03,-6.337874867637811058e-05,7.235361669334686413e-06
5.507053964513124811e+02,5.910801625603361031e-02,1.102409783845598396e-03,-5.329971875688803830e-05,5.927830951686611218e-06
5.509060373860663731e+02,5.792234897575248426e-02,1.139789639941638736e-03,-4.874371150702735159e-05,5.343978511216516521e-06
5.511067874540638059e+02,5.808345693846206359e-02,1.273336220405657396e-03,-5.157075029630963568e-05,5.705596124969557083e-06
5.513076467443689808e+02,5.726548171577524465e-02,1.126397456156781303e-03,-5.226868209633109258e-05,5.795214942791286537e-06
5.515086153461435288e+02,5.634860280969678642e-02,1.049958014314279070e-03,-5.063790533501028436e-05,5.586016236640157424e-06
5.517096933486456010e+02,5.561305165210166795e-02,9.967694412423868094e-04,-4.938229783206744204e-05,5.425454101156765708e-06
5.519108808412307781e+02,5.491775147270173962e-02,8.866903554690865486e-04,-4.712741668355138297e-05,5.138363329608518707e-06
5.521121779133520704e+02,5.442407743362416561e-02,9.342359424642170769e-04,-4.522307247320058788e-05,4.897334765851612332e-06
5.523135846545598042e+02,5.344347679582453492e-02,8.924253326545836425e-04,-4.331886303833570325e-05,4.657850473138329087e-06
5.525151011545020765e+02,5.346492462972492199e-02,9.818457654957441199e-04,-4.115072344399124047e-05,4.387350634532279725e-06
5.527167275029244138e+02,5.172967179184154857e-02,8.437270889076312107e-04,-3.868033216420954477e-05,4.082532763514204725e-06
5.529184637896705681e+02,5.005472548028491730e-02,7.498445521448809763e-04,-3.557232263307537085e-05,3.705493514768375679e-06
5.531203101046822894e+02,4.881884539444279747e-02,6.499950719637555925e-04,-3.329509809619600745e-05,3.435070155091366262e-06
5.533222665379989849e+02,4.798950806637185262e-02,6.351898209770152990e-04,-3.141289332932016852e-05,3.216280327088625395e-06
5.535243331797587416e+02,4.725407451002205245e-02,6.224023013654971003e-04,-2.911518351264165863e-05,2.956459155793815294e-06
5.537265101201982134e+02,4.611281969966504052e-02,5.887734962973952251e-04,-2.548685173396963844e-05,2.568011127657035453e-06
5.539287974496521656e+02,4.419308508953042475e-02,4.356195331998856564e-04,-2.159577548334478146e-05,2.195314324551719831e-06
5.541311952585540439e+02,4.298690167568312154e-02,3.659069361988839223e-04,-1.787253645307101564e-05,1.905376021580966079e-06
5.543337036374366562e+02,4.213652861936538485e-02,3.334764591181836059e-04,-1.455860497177626945e-05,1.729607009796309058e-06
5.545363226769311495e+02,4.083445101721759618e-02,3.363425819798679969e-04,-1.062194183429951914e-05,1.657042813601890767e-06
5.547390524677680332e+02,3.969658280062614286e-02,3.712377687872624307e-04,-7.002094851908391494e-06,1.735412147708072593e-06
5.549418931007769515e+02,3.908475278451049861e-02,4.553202563755541390e-04,-3.981858363899852009e-06,1.895805608758811431e-06
5.551448446668869110e+02,3.769332691988729056e-02,4.708004178783028212e-04,9.494289105784275919e-07,2.291305353529599964e-06
5.553479072571263941e+02,3.658622401539123048e-02,5.331966185313039702e-04,4.927314693395838049e-06,2.687591634052637425e-06
5.555510809626235869e+02,3.686578779110908505e-02,5.174107025947393811e-04,5.260676046939163892e-06,2.722928794075276093e-06
5.557543658746063784e+02,3.667972301560676329e-02,5.596626310726080661e-04,6.160516003894259544e-06,2.819641573208545021e-06
5.559577620844024750e+02,3.627664542033551265e-02,6.067712045108731699e-04,8.499735567677935599e-06,3.078976623198597554e-06
