,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos
572.4,-0.16297,1.23261,-0.89288,1.07328,9.09051,26.96722,53.78195,40.19345,1.28938,1.47991,1.99839,3.22204,14.07063,28.15785,40.20412,47.46586,42.96554
572.6,-0.85788,-0.32595,-1.67667,0.31466,11.37256,35.54983,47.56071,41.83138,0.8823,0.515,-0.21589,5.07159,15.74631,35.41953,44.35325,41.53793,47.48339
572.8,-0.22229,1.50288,-1.18117,-0.375,11.11615,36.95852,49.24212,43.44345,0.02389,1.83079,0.67696,3.43442,13.98955,32.44757,36.40588,38.94333,50.96554
573,-0.0189,-0.75838,-1.17216,2.52155,13.56915,38.75852,56.56071,42.48655,0.11239,1.92728,3.29304,4.68221,12.20577,27.83075,38.13395,39.0064,53.92982
573.2,0.35398,-1.27189,-1.36135,2.29741,16.02214,37.02809,54.87044,46.34862,0.8115,0.88342,1.06089,5.41673,11.85441,26.52234,37.36202,43.70009,57.11732
573.4,-0.57822,-0.76739,-0.90189,0.34052,17.4153,38.3933,55.09168,50.5469,1.33363,2.46237,2.36446,4.71761,12.79135,34.84009,44.74798,44.42081,47.76018
573.6,-0.01042,-1.27189,-0.82982,0.73707,14.76573,37.81939,59.28637,50.09862,1.05929,0.92728,1.58768,2.86805,16.78234,28.83075,49.58132,47.42982,43.68875
573.8,-0.60364,0.00739,-1.54153,1.48707,14.14179,39.10635,61.59611,54.26241,2.39558,1.59395,2.52518,2.75301,17.96252,25.90551,50.78307,36.98838,50.11732
574,0.27771,-0.26288,-1.42441,2.8319,15.91103,39.94113,71.83504,51.15897,2.47522,1.83956,3.06982,4.9654,15.05261,34.11112,41.79184,40.37577,47.01018
574.2,-0.51042,-0.44306,-1.07306,3.59914,18.00504,40.50635,68.8085,51.74517,0.10354,0.44482,4.61446,3.76186,11.08865,35.55037,43.6164,41.93432,45.22446
574.4,0.69297,-0.94757,-1.46045,3.15086,19.53496,43.17591,69.83504,55.76241,1.60796,1.70798,5.18589,2.69106,11.6382,31.91486,43.09886,38.24063,45.84946
