,x,Fmin,y_at_min,z_at_min,ix,iy,iz
122,5.25,9.575733447,2.75,2.65,122,27,26
123,5.35,9.793725148,2.95,2.45,123,29,24
124,5.45,7.988821086,2.85,2.45,124,28,24
125,5.55,9.973711424,2.95,2.55,125,29,25
126,5.65,8.736943609,2.85,2.45,126,28,24
127,5.75,7.555330083,3.85,1.25,127,38,12
128,5.85,7.308751438,4.65,1.25,128,46,12
129,5.95,8.798999182,3.85,1.25,129,38,12
130,6.05,7.40834429,4.65,1.35,130,46,13
131,6.15,7.791110842,4.75,1.25,131,47,12
132,6.25,5.847675521,3.85,1.35,132,38,13
133,6.35,2.895248826,3.95,1.25,133,39,12
134,6.45,4.461619483,4.45,1.25,134,44,12
135,6.55,5.89491559,4.55,1.25,135,45,12
136,6.65,4.91017511,3.95,1.25,136,39,12
137,6.75,2.427628427,4.65,1.15,137,46,11
138,6.85,1.835147512,3.85,1.25,138,38,12
139,6.95,0,3.95,1.25,139,39,12
