Filter Thickness (um),Log Fund Intensity,Log Harm Intensity,Filter Thickness (um),Best Fit (Fund),Filter Thickness (um),Best Fit (Harm)
,,,6.05205,4.81141,6.82543,5.05267
,,,6.05786,4.80735,6.83373,5.05161
,,,6.06366,4.80329,6.84204,5.05054
,,,6.06947,4.79923,6.85035,5.04948
,,,6.07528,4.79517,6.85866,5.04841
,,,6.08108,4.79111,6.86697,5.04735
,,,6.08689,4.78705,6.87528,5.04628
,,,6.09269,4.78299,6.88358,5.04522
,,,6.0985,4.77893,6.89189,5.04415
,,,6.1043,4.77487,6.9002,5.04308
,,,6.11011,4.77081,6.90851,5.04202
,,,6.11592,4.76675,6.91682,5.04095
,,,6.12172,4.76269,6.92513,5.03989
,,,6.12753,4.75863,6.93343,5.03882
,,,6.13333,4.75457,6.94174,5.03776
,,,6.13914,4.75051,6.95005,5.03669
,,,6.14494,4.74645,6.95836,5.03563
,,,6.15075,4.74239,6.96667,5.03456
,,,6.15656,4.73833,6.97497,5.03349
,,,6.16236,4.73427,6.98328,5.03243
,,,6.16817,4.73021,6.99159,5.03136
,,,6.17397,4.72615,6.9999,5.0303
,,,6.17978,4.72209,7,5.03029
,,,6.18559,4.71803,7.00821,5.02923
,,,6.19139,4.71397,7.01652,5.02817
,,,6.1972,4.70991,7.02482,5.0271
,,,6.203,4.70585,7.03313,5.02604
,,,6.20881,4.70179,7.04144,5.02497
,,,6.21461,4.69772,7.04975,5.0239
,,,6.22042,4.69366,7.05806,5.02284
,,,6.22623,4.6896,7.06637,5.02177
,,,6.23203,4.68554,7.07467,5.02071
,,,6.23784,4.68148,7.08298,5.01964
,,,6.24364,4.67742,7.09129,5.01858
,,,6.24945,4.67336,7.0996,5.01751
,,,6.25526,4.6693,7.10791,5.01645
,,,6.26106,4.66524,7.11622,5.01538
,,,6.26687,4.66118,7.12452,5.01432
,,,6.27267,4.65712,7.13283,5.01325
,,,6.27848,4.65306,7.14114,5.01218
,,,6.28428,4.649,7.14945,5.01112
,,,6.29009,4.64494,7.15776,5.01005
,,,6.2959,4.64088,7.16607,5.00899
,,,6.3017,4.63682,7.17437,5.00792
,,,6.30751,4.63276,7.18268,5.00686
,,,6.31331,4.6287,7.19099,5.00579
,,,6.31912,4.62464,7.1993,5.00473
,,,6.32492,4.62058,7.20761,5.00366
,,,6.33073,4.61652,7.21592,5.00259
,,,6.33654,4.61246,7.22422,5.00153
,,,6.34234,4.6084,7.23253,5.00046
,,,6.34815,4.60434,7.24084,4.9994
,,,6.35395,4.60028,7.24915,4.99833
,,,6.35976,4.59622,7.25746,4.99727
,,,6.36557,4.59216,7.26577,4.9962
,,,6.37137,4.5881,7.27407,4.99514
,,,6.37718,4.58404,7.28238,4.99407
,,,6.38298,4.57998,7.29069,4.993
,,,6.38879,4.57592,7.299,4.99194
,,,6.39459,4.57186,7.30731,4.99087
