Energy,4 um,4 um,4 um,6 um,6 um,6 um,12.5 um,12.5 um,12.5 um
Energy,Fundamental,Raw,2nd Order Harmonic,Fundamental,Raw,2nd Order Harmonic,Fundamental,Raw,2nd Order Harmonic
531.02427,10768.51861,11216.12183,447.60322,426.54018,724.26477,297.72459,0.87809,36.95267,36.07458
531.21439,11676.99295,12153.85203,476.85907,464.44725,782.46942,318.02216,0.996,39.77782,38.78182
531.4046,12656.2169,13163.67798,507.46107,504.7495,843.36271,338.61321,0.56867,42.20238,41.63371
531.59492,13691.97898,14231.93679,539.95781,546.40414,906.18201,359.77786,0.65731,45.20085,44.54354
531.78534,14787.53601,15361.33564,573.79964,590.95793,972.86445,381.90652,0.77185,48.25831,47.48646
531.97586,15990.66901,16598.88502,608.216,640.2406,1044.89076,404.65016,0.66247,51.12328,50.46081
532.16648,17328.28978,17971.56344,643.27366,693.05447,1118.73005,425.67558,0.90915,54.42091,53.51176
532.35719,18704.54689,19379.23084,674.68395,744.80908,1190.40538,445.5963,0.68229,57.05057,56.36828
532.54801,20061.80527,20766.5057,704.70043,794.1867,1258.71215,464.52545,0.50465,59.58285,59.07821
532.73893,21391.50828,22124.76774,733.25946,841.48121,1322.86943,481.38822,0.18886,61.73291,61.54404
532.92995,22661.51779,23421.38325,759.86546,881.36309,1377.31135,495.94826,0.23895,64.11484,63.87589
533.12107,23814.14361,24597.20993,783.06632,916.71053,1425.06096,508.35042,0.62817,66.67561,66.04744
533.31229,24703.5528,25504.4557,800.90289,944.29199,1459.41624,515.12425,0.04305,67.76214,67.71909
533.50361,25282.07935,26095.80369,813.72434,956.61771,1474.9712,518.35349,0.16391,69.05276,68.88884
533.69504,25464.32059,26287.87134,823.55075,952.61736,1471.23483,518.61746,-0.14721,69.65286,69.80007
533.88656,25289.48839,26118.99387,829.50548,941.13932,1457.36939,516.23007,-0.73915,70.04233,70.78148
534.07818,24832.81343,25663.77336,830.95993,916.5219,1428.00509,511.48319,-0.47384,70.71263,71.18648
534.26991,24150.61048,24981.83868,831.2282,885.81863,1390.59959,504.78096,-0.83467,70.41602,71.25069
534.46174,23303.41103,24134.07828,830.66724,853.36006,1350.29887,496.93881,-1.52869,69.63435,71.16304
534.65366,22392.28938,23222.9699,830.68052,819.20565,1309.44567,490.24002,-1.184,69.9995,71.18351
534.84569,21384.47877,22216.497,832.01823,781.54785,1266.16253,484.61468,-1.31328,69.95906,71.27233
535.03782,20302.40715,21137.97043,835.56328,741.52842,1223.25533,481.72691,-0.73845,70.67401,71.41246
535.23006,19178.78797,20022.80784,844.01987,699.18598,1181.01141,481.82543,-0.62145,71.34702,71.96847
535.42239,18002.80872,18858.47238,855.66366,659.40325,1144.0418,484.63855,-0.44842,72.43137,72.87979
535.61482,16868.80445,17740.40815,871.60369,624.66797,1117.37223,492.70426,-0.44696,74.09904,74.54599
535.80736,16013.88462,16909.47195,895.58734,601.73022,1105.43319,503.70297,-0.09772,76.66192,76.75964
536,15582.756,16506.14031,923.38431,597.12385,1114.39898,517.27512,0.33004,79.69578,79.36574
536.19274,15542.49585,16498.15543,955.65958,605.67347,1139.43114,533.75767,0.14536,82.63321,82.48785
536.38558,15845.79376,16836.782,990.98824,624.03936,1174.95934,550.91999,0.7838,86.71123,85.92744
536.57853,16363.08591,17391.21112,1028.12521,647.32144,1215.99052,568.66907,0.32878,89.94957,89.62079
536.77157,17012.83894,18080.47324,1067.6343,674.95676,1261.71926,586.7625,0.51249,94.28885,93.77636
536.96472,17704.76735,18807.1348,1102.36745,702.07462,1307.23656,605.16194,-0.03518,97.87712,97.9123
537.15797,18233.41399,19367.918,1134.50401,715.81434,1339.55112,623.73678,0.25022,102.22376,101.97354
537.35133,18450.67908,19614.03586,1163.35678,716.5192,1356.71156,640.19236,1.185,106.79688,105.61188
537.54478,18231.79606,19421.32182,1189.52576,701.47479,1357.40854,655.93374,0.82344,110.1798,109.35636
537.73834,17602.65995,18815.29176,1212.6318,681.04599,1352.3078,671.2618,1.2039,114.3583,113.1544
537.932,16607.59798,17838.41421,1230.81623,643.14135,1335.20314,692.06179,0.76687,117.65648,116.88961
538.12577,15403.55918,16646.21911,1242.65993,591.6215,1301.87152,710.25002,0.41317,119.87253,119.45935
538.31963,14120.94674,15369.78329,1248.83655,538.24421,1264.25624,726.01203,-0.90921,120.31222,121.22142
538.5136,12834.38801,14080.71683,1246.32882,486.87651,1224.25742,737.38091,-1.04045,121.16549,122.20594
538.70767,11563.86665,12804.48123,1240.61458,435.59653,1182.73016,747.13364,-1.03376,121.436,122.46975
538.90185,10328.60486,11564.44634,1235.84148,387.79347,1143.12788,755.33442,-1.08499,121.11096,122.19595
539.09613,9172.24207,10406.37915,1234.13708,343.43181,1102.86615,759.43433,-0.95062,120.24042,121.19104
539.29051,8072.13721,9301.03169,1228.89448,301.58412,1063.62792,762.0438,-1.56269,117.71863,119.28132
539.48499,7047.63945,8270.71291,1223.07346,264.24274,1027.51884,763.27611,-1.73364,114.90668,116.64032
539.67958,6139.9219,7357.4111,1217.4892,229.57784,992.4258,762.84796,-1.24958,111.43727,112.68685
539.87427,5328.7079,6542.90081,1214.19291,195.78697,952.76639,756.97943,-1.36325,106.81403,108.17728
540.06907,4588.36307,5800.04071,1211.67764,160.07288,906.08869,746.01581,-2.42336,100.84887,103.27223
540.26397,3935.68532,5145.49549,1209.81017,134.99786,862.81107,727.81322,-2.28761,95.69764,97.98525
540.45897,3386.73524,4583.50557,1196.77033,114.24378,821.08391,706.84013,-2.25432,90.10158,92.3559
540.65407,2922.68249,4100.33901,1177.65651,92.75866,775.89416,683.13549,-1.21071,85.30941,86.52013
540.84928,2524.99181,3675.79487,1150.80306,74.53353,724.66371,650.13018,-1.48191,79.27526,80.75717
541.0446,2191.23204,3301.14688,1109.91484,58.30992,670.72361,612.41369,-1.90736,73.06824,74.97559
541.24002,1909.68998,2970.41712,1060.72714,45.5153,615.80072,570.28542,-1.99959,67.14082,69.14041
541.43554,1671.49239,2671.91257,1000.42018,38.46391,563.97558,525.51167,-1.61462,61.34963,62.96425
541.63116,1472.72344,2402.25996,929.53652,30.35238,509.71997,479.36759,-1.42884,55.50102,56.92986
541.82689,1300.36208,2154.92159,854.55952,23.14606,455.08166,431.9356,-1.58732,49.45366,51.04098
542.02273,1158.35295,1934.09129,775.73835,18.46773,402.76303,384.2953,-1.31846,44.28816,45.60662
542.21867,1037.25194,1733.12489,695.87295,13.08691,350.70156,337.61465,-1.10246,39.27239,40.37485
542.41471,934.14542,1550.82093,616.67551,14.73586,306.64459,291.90873,-1.22599,34.08245,35.30843
542.61086,846.94928,1386.34232,539.39304,12.48463,264.14882,251.66419,-0.82778,29.69996,30.52773
542.80711,771.1446,1239.20498,468.06037,12.96897,227.74419,214.77522,-0.48799,25.82204,26.31003
543.00347,705.69002,1106.89303,401.20301,14.06604,195.23084,181.1648,-0.25334,22.26551,22.51885
543.19993,651.01097,992.17001,341.15904,12.49988,166.49071,153.99083,-0.1771,19.03294,19.21004
543.3965,602.12591,891.66969,289.54377,12.72471,142.04875,129.32404,-0.06058,16.25528,16.31586
543.59317,556.39527,798.86949,242.47422,13.69859,120.81878,107.12019,-0.16196,13.58576,13.74771
543.78995,514.66417,715.83279,201.16862,12.62224,102.14838,89.52615,-0.16141,11.46432,11.62573
543.98683,473.67892,641.77667,168.09774,11.86548,85.97463,74.10915,0.18991,9.95928,9.76938
544.18382,437.49444,576.59976,139.10533,11.67115,72.51299,60.84184,0.21604,8.34781,8.13176
544.38091,403.18002,518.11263,114.93261,11.66704,62.31589,50.64885,0.23743,7.10096,6.86353
544.57811,371.1395,466.84793,95.70843,11.54625,53.41806,41.87181,0.03536,5.82133,5.78596
544.77541,341.93756,420.92577,78.9882,11.40691,45.91146,34.50455,0.08774,4.94302,4.85528
544.97282,314.8537,380.12775,65.27405,10.8089,39.70006,28.89116,0.24125,4.32333,4.08208
545.17034,290.36396,344.91575,54.5518,9.9714,33.97704,24.00564,0.21987,3.63862,3.41875
545.36796,267.45511,312.75804,45.30293,9.68894,29.5418,19.85286,0.23723,3.08473,2.8475
545.56569,246.9953,284.76833,37.77302,9.01139,25.73246,16.72107,0.21925,2.6571,2.43785
545.76352,227.79499,259.61723,31.82224,8.41568,22.46574,14.05006,0.00966,2.10513,2.09547
545.96146,210.1507,236.87427,26.72357,7.96379,19.80922,11.84542,0.2655,2.06889,1.80339
546.1595,193.86033,216.56152,22.70119,7.52532,17.72325,10.19793,0.20584,1.74793,1.54209
546.35765,178.24264,197.70374,19.46109,7.21425,15.99427,8.78002,0.19899,1.51986,1.32087
546.55591,164.35026,181.00765,16.65739,6.57425,14.1696,7.59535,0.17274,1.30149,1.12875
546.75428,150.85732,165.27684,14.41952,6.29435,12.90735,6.613,0.21732,1.15969,0.94237
546.95275,138.67114,151.27609,12.60495,5.88523,11.66759,5.78235,0.24688,1.06455,0.81768
547.15132,127.88751,138.91199,11.02448,5.47929,10.58747,5.10818,0.14945,0.88667,0.73722
547.35001,118.1907,127.9357,9.745,5.14386,9.75786,4.614,0.0919,0.74474,0.65284
547.5488,109.18343,117.89444,8.71101,4.85478,9.05444,4.19966,0.13326,0.70869,0.57543
547.74769,102.14604,109.94907,7.80304,4.4738,8.34114,3.86734,0.18617,0.69194,0.50577
547.9467,95.46931,102.51498,7.04566,4.3398,7.84074,3.50094,0.18098,0.64921,0.46823
548.14581,89.66159,96.18604,6.52445,4.26656,7.47803,3.21147,0.1121,0.55473,0.44263
548.34502,85.33485,91.40726,6.07242,4.29661,7.30151,3.0049,0.08147,0.50542,0.42395
548.54435,80.8991,86.53558,5.63648,4.19817,6.98953,2.79136,0.08698,0.46813,0.38115
548.74378,77.62294,82.96305,5.34012,4.196,6.83865,2.64265,0.15017,0.50786,0.35769
548.94332,74.28316,79.35468,5.07152,3.94299,6.50731,2.56432,0.11293,0.46015,0.34722
549.14297,71.91048,76.68859,4.77811,4.21866,6.55104,2.33238,0.17576,0.49264,0.31688
549.34272,69.97409,74.48156,4.50746,4.05038,6.25675,2.20637,0.14765,0.45223,0.30458
549.54258,68.60864,72.85021,4.24157,3.77812,5.97831,2.20019,0.16734,0.47116,0.30383
549.74255,66.90101,70.87288,3.97187,3.6491,5.74972,2.10062,0.10263,0.37574,0.2731
549.94263,65.51428,69.35726,3.84298,3.65983,5.66292,2.0031,0.16452,0.41348,0.24896
550.14282,63.82389,67.57496,3.75107,3.42966,5.34011,1.91045,0.19352,0.42247,0.22895
550.34311,62.74526,66.39821,3.65295,3.22285,5.13167,1.90882,0.23998,0.43551,0.19553
550.54351,61.19315,64.70932,3.51618,3.29608,5.1506,1.85452,0.28542,0.47247,0.18705
550.74402,60.59849,63.98257,3.38407,3.38598,5.12417,1.73819,0.19888,0.39627,0.19739
550.94464,58.92403,62.21693,3.29291,3.23142,4.98064,1.74921,0.05216,0.25088,0.19872
551.14536,57.76293,60.97506,3.21213,3.24223,4.95765,1.71542,0.12525,0.33451,0.20926
551.34619,56.8122,59.94232,3.13013,3.3001,4.92624,1.62614,0.12463,0.34839,0.22376
551.54714,55.68539,58.72227,3.03687,2.90564,4.52564,1.62,0.15155,0.3364,0.18485
551.74819,54.4762,57.44518,2.96898,2.89657,4.4565,1.55993,0.17876,0.3599,0.18114
551.94935,53.20436,56.1012,2.89684,3.14602,4.58055,1.43453,0.15357,0.35589,0.20232
552.15062,52.52211,55.31527,2.79316,2.75394,4.13799,1.38406,0.15632,0.32516,0.16884
552.35199,51.6565,54.45906,2.80256,2.8537,4.19212,1.33842,0.15421,0.30348,0.14928
552.55348,50.70248,53.51177,2.80929,2.7722,4.06732,1.29512,0.0566,0.19929,0.14268
552.75507,50.00161,52.71767,2.71605,2.55983,3.85603,1.29621,0.03841,0.20626,0.16785
552.95678,49.34986,52.03075,2.68089,2.25883,3.5625,1.30366,0.01898,0.19603,0.17705
