Energy,XFEL Harm,Fund Sq,Bin 1,Bin 1 err,Bin 3,Bin 3 err,Bin 5,Bin 5 err,Bin 7,Bin 7 err,Bin 9,Bin 9 err,Bin 11,Bin 11 err,Bin 13,Bin 13 err,Bin 15,Bin 15 err
1.070832941886104663e+03,1.108979911367850058e+01,2.677570174014257676e-01,-2.252313208838609082e+00,1.701680517158879358e+00,4.990528278590217859e+00,2.065276068574050772e+00,2.119099017553977671e+00,5.966065360014632946e-01,9.176390837239498666e-01,1.532658120379693845e+00,-1.080501595781806046e+00,1.375672915103458349e+00,-1.277389695994177288e+00,1.921011509540472062e+00,1.936586348825962034e+00,7.302792782488142231e-01,7.350524252015778748e-01,5.701159180207806543e+00
1.071416200413751540e+03,1.270874075021612271e+01,3.460199262080470572e-01,-1.818453511744620554e+00,2.032707142191673810e+00,2.135207336138371659e+00,2.102941760237498237e+00,1.844957855304526051e+00,9.983031088402514186e-01,1.888126510606100039e+00,1.235720432620592391e+00,-1.001891002707516520e+00,1.890810200113098194e+00,-1.464431755951004277e+00,1.837728628076907622e+00,2.524250052619777307e+00,1.470246398874529126e+00,3.165715266846215736e-01,1.403882081895520217e+00
1.072000000000000000e+03,1.441818136953626350e+01,4.862936622282063026e-01,-6.214910580588690614e-01,6.103742975995860576e-01,1.553983039782452780e+00,3.570611455112537858e+00,3.039202612013973237e+00,1.041970938310236239e+00,1.340076734379816115e+00,1.057205916820977532e+00,-9.901170744391430967e-01,1.418192603448051425e+00,-1.344340234122860522e+00,1.743975061120038195e+00,1.941498210095133459e+00,1.428243633270006141e+00,6.238432394493789168e+00,2.000634710384114001e+00
1.072584341398067409e+03,1.643377185339468127e+01,7.312129696629360298e-01,-9.321441667970197242e-01,1.958271771079551637e+00,2.011193040866106063e+00,4.505554343716559274e+00,1.884004498109828063e+00,1.160226635122663552e+00,1.687594160230495133e+00,9.215982391119725836e-01,-1.382441262955770300e+00,6.898271058838389980e-01,-1.335580373733970871e+00,1.581391311528533405e+00,1.430708583218783359e+00,3.218877935142363533e+00,7.827857465815005078e+00,1.229958732556776235e+00
1.073169225362569250e+03,1.853466879673153755e+01,1.156454877794979907e+00,-1.732710725699243115e+00,2.182148092588034327e+00,1.471936566703184068e+00,2.046655781513814443e+00,3.704898837330487193e+00,5.929249698306272576e-01,1.001333358565275944e+00,1.214406245509243032e+00,-1.292652812216012137e+00,9.425394778803071194e-01,-8.004895441696078251e-01,9.480402143808942528e-01,1.694107560172473770e+00,2.902624431372950564e+00,-3.367359783256442252e-01,2.784193666976162440e+00
1.073754652649524132e+03,2.067534318822996653e+01,1.829696426927281738e+00,-1.658820317915508769e+00,6.546262642519703467e-01,1.616761309755360143e+00,2.635372370148167942e+00,4.997468717951709216e+00,2.027664440909975330e+00,5.602469120324743423e-01,1.320253290385658529e+00,-8.895530126572239737e-01,6.113874160340324604e-01,2.384029988691764856e-01,8.322268763984719264e-01,2.790149066156961677e+00,1.666841272215736192e+00,-1.594413295135050701e+00,4.291933417954756358e+00
1.074340624016354923e+03,2.286956956837143906e+01,2.678953721108218833e+00,-3.648019161545683064e-01,6.113285016499615532e-01,3.673411371676316151e-01,1.309742254870382538e+00,3.942923021891331814e+00,1.807942522123779483e+00,1.466835724099771143e+00,1.729122335807117716e+00,1.965853662169318172e-01,9.781975749918041529e-01,1.795430127786801222e-02,4.998813285082586155e-01,1.643448567696495388e+00,2.947737482189226377e+00,1.826542023711643425e+00,5.442385906006646401e+00
1.074927140221893296e+03,2.503332827661446203e+01,3.561570101603023897e+00,-7.015887220189748197e-01,2.408690289085695380e+00,4.854979728047936760e-01,2.140751351400394853e+00,3.311557648781750629e+00,1.769663929451680495e+00,2.105307397903537492e+00,2.926867318730477230e+00,-1.834512595341484031e+00,7.197896751150547612e-01,-8.274658712175977371e-01,6.334331634132523980e-01,5.909017144827070078e-01,2.458094687386203514e+00,-1.683794575494706125e+00,6.548872979150547557e+00
1.075514202026383145e+03,2.709660334887406563e+01,4.484864710980287050e+00,1.111789327712900288e+00,2.201446720265266332e+00,-1.006632041421388735e+00,1.524327679676756198e+00,6.490886497858203263e+00,1.286410293940339900e+00,2.615228131260982192e+00,4.362238668435852063e+00,-8.238177012570820912e-01,6.891736703180000312e-01,-3.143243868930956642e-01,1.531405718683307215e+00,1.519461224327812943e+00,1.759187927073921909e+00,-6.813503144701134495e+00,9.628241620386528865e+00
1.076101810191482627e+03,2.969570804585976020e+01,5.498559134585047303e+00,1.547457358743356826e-01,2.451518704639394475e+00,-7.796132977774004047e-01,1.378475142397359798e+00,4.163153303502426184e+00,9.107105251293009518e-01,1.461956532469275372e+00,4.144452071749642919e+00,9.549970573642951877e-02,1.501531058346685876e+00,-1.259336957832246640e+00,1.048357130372234020e-01,-5.597953606485172040e-01,2.039192571191001502e+00,-9.089220333488080783e+00,9.660396720947394655e+00
1.076689965480269166e+03,3.246061086812741081e+01,6.511771317409946747e+00,1.016195727289396888e+00,3.842230600760052184e+00,-5.318642128900906707e-01,9.289670306460829918e-01,1.848505108003254405e+00,3.886357804127592352e+00,-4.186457350817296974e-01,4.896758061654647776e+00,-1.205655133648993599e-01,4.861243717927407615e-01,-2.696219039004716933e-01,1.207148648357420084e+00,-1.842599685356295369e+00,1.295513185020282565e+00,-1.008955792682797004e+01,4.615831405596369841e+00
1.077278668657240814e+03,3.542097870076200650e+01,7.541226113871233316e+00,-4.561669298116522442e-01,2.148991636644728143e+00,-1.778407401436565394e+00,1.409266736717645463e+00,-2.587359400135445409e+00,7.848265260338066263e+00,1.604206231750393785e+00,4.880841513115979247e+00,3.700395183391786413e-01,3.210271999016798716e+00,-7.244052649565920765e-01,1.546031012950652483e+00,-1.441275686552122126e+00,1.368424117308763455e+00,-9.645539565486075162e+00,5.839255763257781062e+00
1.077867920488321261e+03,3.872724110952862020e+01,8.700859284137969496e+00,3.374823337504482268e-01,2.966278689847244188e+00,-9.549915748426620610e-01,3.409113802031568663e-01,4.374684070090164023e-01,3.665012299826848619e+00,-4.962696248397643894e-01,2.821439234562721943e+00,2.673917968029873582e-01,2.611849710938274338e+00,-7.261096356984353406e-01,1.944456681261285125e+00,-2.411903142187431737e+00,3.549519101422065948e+00,-8.496158509126331637e+00,7.165389232629035376e+00
1.078457721740863008e+03,4.199667487943945332e+01,1.012053469165549302e+01,5.921338274811756008e-01,3.698890514212476610e+00,-9.870458258406049623e-01,3.395197732863887818e+00,-4.087484974963345508e+00,3.239175363310766276e+00,-2.400375285656560553e+00,4.042377440962463098e+00,1.313152783589160322e+00,1.955668021819275237e+00,6.869953729994335845e-01,2.388527740715033154e+00,-4.987202287475895446e+00,2.387496809367275041e+00,-4.116941227327544084e+00,8.043168490606124266e+00
1.079048073183648967e+03,4.541432220129038200e+01,1.174923342069029708e+01,-4.128762546791666099e-01,1.848956837176147339e+00,-1.532791758668659243e+00,1.013564994820135956e+00,-7.845960461910332917e+00,2.156646767800910691e+00,-3.948416107392939356e+00,5.632167618698695755e+00,-2.385297206176678397e+00,1.838782081574212857e+00,1.861825285320463763e+00,3.712904420078993795e+00,-4.944069122479807454e+00,1.432230340477053998e+00,-3.687307289129582610e+00,1.012072990093801828e+01
1.079638975586897914e+03,4.855298849173927067e+01,1.350101585499322532e+01,-7.955364471446091379e-02,1.879738295949692217e+00,-4.678484689800842311e+00,9.287114816503581061e-01,-3.743351801698871384e+00,6.108520798544261332e+00,-1.378050998844287278e+00,4.494035418830802264e+00,-9.006637782289695915e-01,2.206818338508740762e+00,2.874639329556231360e+00,4.524580703621044364e+00,-2.865509656353604218e+00,6.238571554625944593e-01,-3.848227130834127596e+00,6.473473362866745795e+00
1.080230429722266535e+03,5.158516776329624065e+01,1.544056399441324956e+01,-9.897513183181476382e-02,2.313283755830456201e+00,-2.623447504308065614e+00,1.673517209443827092e+00,-5.202073862183685726e+00,5.941726751892701941e+00,-2.846806509752468628e+00,3.214678036981264420e+00,1.486114625046004223e+00,4.215690893325488631e+00,5.353864844033400239e+00,2.921168569270327531e+00,-7.010784589815747259e-01,1.605871882051874699e+00,-1.832416720304005819e+00,3.915752078035989570e+00
1.080822436362853523e+03,5.424705112466983792e+01,1.744815132642623468e+01,-2.027360656050373675e-02,3.444690567598775566e+00,-3.239126731725092245e+00,3.032164741791395723e+00,-6.749595605553878386e+00,2.244992432216194267e+00,-4.187572559001400130e+00,2.811193922908065357e+00,2.306687843648868697e+00,3.166858975721977831e+00,8.913898670008023828e+00,2.373188340697250709e+00,2.270737777430051896e+00,2.009548578122134277e+00,1.733923696202793963e+00,6.642567382613877136e+00
