-1.85000000e+01 2.81027787e-08 2.67120340e-08 2.71119327e-08 2.80739130e-08 2.62316883e-08 2.71031927e-08 2.67042447e-08 2.83863507e-08 2.71800020e-08 2.62987053e-08 2.55297290e-08 2.46425720e-08 2.73505727e-08 2.90232050e-08 2.74438593e-08 2.80801240e-08 2.87042587e-08 2.88206487e-08
-1.84500000e+01 2.82677660e-08 2.68660140e-08 2.72700823e-08 2.82367733e-08 2.63845790e-08 2.72614520e-08 2.68601293e-08 2.85525097e-08 2.73386790e-08 2.64515993e-08 2.56784933e-08 2.47838357e-08 2.75106630e-08 2.91952263e-08 2.76053633e-08 2.82441030e-08 2.88733183e-08 2.89893257e-08
-1.84000000e+01 2.84343290e-08 2.70214413e-08 2.74297340e-08 2.84011647e-08 2.65389230e-08 2.74212140e-08 2.70174937e-08 2.87202510e-08 2.74988653e-08 2.66059387e-08 2.58286720e-08 2.49264220e-08 2.76722787e-08 2.93689043e-08 2.77684167e-08 2.84096380e-08 2.90439997e-08 2.91596073e-08
-1.83500000e+01 2.86024893e-08 2.71783340e-08 2.75909097e-08 2.85671177e-08 2.66947340e-08 2.75825027e-08 2.71763553e-08 2.88895913e-08 2.76605787e-08 2.67617480e-08 2.59802860e-08 2.50703427e-08 2.78354407e-08 2.95442663e-08 2.79330323e-08 2.85767550e-08 2.92163210e-08 2.93315070e-08
-1.83000000e+01 2.87722697e-08 2.73367137e-08 2.77536293e-08 2.87346433e-08 2.68520387e-08 2.77453343e-08 2.73367360e-08 2.90605577e-08 2.78238427e-08 2.69190427e-08 2.61333547e-08 2.52156213e-08 2.80001663e-08 2.97213317e-08 2.80992407e-08 2.87454717e-08 2.93903080e-08 2.95050550e-08
-1.82500000e+01 2.89436913e-08 2.74966000e-08 2.79179123e-08 2.89037720e-08 2.70108497e-08 2.79097347e-08 2.74986573e-08 2.92331657e-08 2.79886757e-08 2.70778463e-08 2.62878963e-08 2.53622723e-08 2.81664827e-08 2.99001297e-08 2.82670577e-08 2.89158137e-08 2.95659817e-08 2.96802660e-08
-1.82000000e+01 2.91167763e-08 2.76580123e-08 2.80837833e-08 2.90745183e-08 2.71711967e-08 2.80757200e-08 2.76621403e-08 2.94074437e-08 2.81550993e-08 2.72381753e-08 2.64439330e-08 2.55103167e-08 2.83344060e-08 3.00806753e-08 2.84365090e-08 2.90878023e-08 2.97433617e-08 2.98571693e-08
-1.81500000e+01 2.92915447e-08 2.78209730e-08 2.82512610e-08 2.92469073e-08 2.73330933e-08 2.82433153e-08 2.78272037e-08 2.95834123e-08 2.83231387e-08 2.74000540e-08 2.66014817e-08 2.56597713e-08 2.85039627e-08 3.02630013e-08 2.86076150e-08 2.92614567e-08 2.99224793e-08 3.00357850e-08
-1.81000000e+01 2.94680253e-08 2.79855023e-08 2.84203727e-08 2.94209623e-08 2.74965647e-08 2.84125420e-08 2.79938707e-08 2.97610910e-08 2.84928127e-08 2.75635047e-08 2.67605677e-08 2.58106577e-08 2.86751740e-08 3.04471267e-08 2.87803980e-08 2.94368063e-08 3.01033520e-08 3.02161343e-08
-1.80500000e+01 2.96462400e-08 2.81516220e-08 2.85911333e-08 2.95967013e-08 2.76616320e-08 2.85834203e-08 2.81621647e-08 2.99405083e-08 2.86641473e-08 2.77285443e-08 2.69212103e-08 2.59629937e-08 2.88480600e-08 3.06330790e-08 2.89548827e-08 2.96138660e-08 3.02860073e-08 3.03982460e-08
